BenchmarkBlah/complex-sz100-node0-4      	 1000000	      2141 ns/op	     456 B/op	      57 allocs/op
BenchmarkBlah/complex-sz100-node0-4      	 1000000	      2134 ns/op	     456 B/op	      57 allocs/op
BenchmarkBlah/complex-sz100-node1-4      	 1000000	      2287 ns/op	     488 B/op	      61 allocs/op
BenchmarkBlah/complex-sz100-node1-4      	 1000000	      2298 ns/op	     488 B/op	      61 allocs/op
BenchmarkBlah/complex-sz100-node1-4      	 1000000	      2308 ns/op	     488 B/op	      61 allocs/op
BenchmarkBlah/complex-sz100-node1-4      	  500000	      2305 ns/op	     488 B/op	      61 allocs/op
BenchmarkBlah/complex-sz100-node1-4      	 1000000	      2281 ns/op	     488 B/op	      61 allocs/op
BenchmarkBlah/complex-sz100-node1-4      	 1000000	      2333 ns/op	     488 B/op	      61 allocs/op
BenchmarkBlah/complex-sz100-node1-4      	 1000000	      2340 ns/op	     488 B/op	      61 allocs/op
BenchmarkBlah/complex-sz100-node1-4      	 1000000	      2311 ns/op	     488 B/op	      61 allocs/op
BenchmarkBlah/complex-sz100-node1-4      	  500000	      2354 ns/op	     488 B/op	      61 allocs/op
BenchmarkBlah/complex-sz100-node1-4      	 1000000	      2279 ns/op	     488 B/op	      61 allocs/op
BenchmarkBlah/complex-sz100-node2-4      	 1000000	      2124 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/complex-sz100-node2-4      	 1000000	      2098 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/complex-sz100-node2-4      	 1000000	      2112 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/complex-sz100-node2-4      	 1000000	      2130 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/complex-sz100-node2-4      	 1000000	      2125 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/complex-sz100-node2-4      	 1000000	      2111 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/complex-sz100-node2-4      	 1000000	      2119 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/complex-sz100-node2-4      	 1000000	      2146 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/complex-sz100-node2-4      	 1000000	      2135 ns/op	     440 B/op	      55 allocs/op
BenchmarkBlah/complex-sz100-node2-4      	 1000000	      2091 ns/op	     440 B/op	      55 allocs/op
PASS
ok  	_/home/kena/comp	389.494s
